old young
top bottom
awake asleep
future past
beginning end
volunteer compel
best worst
big small
boring exciting
brave cowardly
innocent guilty
busy idle
buy sell
calm stormy
careful careless
clean dirty
combine separate
common rare
complex simple
cool warm
courage fear
cruel kind
dark light
deep shallow
democracy dictatorship
empty full
fast slow
fortune poverty
freedom slavery
gentle rough
happy sad
healthy sick
heaven hell
honest dishonest
hot cold
humble arrogant
increase decrease
interior exterior
join separate
junior senior
last first
laugh cry
legal illegal
loose tight
love hate
major minor
maximum minimum
modern ancient
moral immoral
native foreign
noisy quiet
none all
north south
satisfaction dissatisfaction
open closed
paradise hell
pass fail
permanent temporary
possible impossible
pure impure
rural urban
sane insane
save squander
sharp dull
shiny dull
smart stupid
start finish
strength weakness
sunrise sunset
superior inferior
sweet sour
transparent opaque
true false
up down
victory defeat
visible invisible
wild domestic
wise foolish
yes no
young old
strong weak
short long
high low
award punishment
enter exit
expand contract
good bad
arrive depart
thick thin
tight loose
include exclude
accept reject
reality fantasy
win lose
